MMSI,Timestamp,Latitude,Longitude,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,Latitude_next,Longitude_next
316001556,2021-11-14 00:00:01,48.65217,-123.44917,0.0,0.0,75,CCGS CAPE SUTIL,,CFE9808,90.0,0.0,13.0,4.0,2.2,51,A,48.65217,-123.44917
316001659,2021-11-14 00:00:31,48.42332,-123.38485,0.0,41.3,511,ZAPORA,IMO0000000,UNKNOWN,30.0,0.0,17.0,6.0,,0,B,48.42332,-123.38485
316001696,2021-11-14 00:00:13,43.71233,-77.26295,12.1,76.2,75,TIM S DOOL,IMO6800919,VGPY,70.0,0.0,222.0,23.0,8.2,79,A,43.7604018331211,-76.99218568042329
316001731,2021-11-14 00:00:07,49.20478,-123.10013,1.1,75.5,94,ALISON NICOLE I,IMO7406681,CFC6672,31.0,0.0,22.0,7.0,2.9,32,A,49.20936720698553,-123.0729819000252
316001749,2021-11-14 00:00:07,49.1809,-123.18433,0.0,322.2,272,SIYAY,,UNKNOWN,31.0,8.0,27.0,9.0,,51,A,49.1809,-123.18433
316002873,2021-11-14 00:00:08,43.27564,-79.8439,2.0,14.6,340,OCEAN GOLF,IMO5146354,UNKNOWN,31.0,0.0,31.0,8.0,3.1,52,A,43.30787523658524,-79.83236715808381
316002974,2021-11-14 00:00:06,49.12297,-123.18155,0.1,17.2,511,KYNOC,,CY9299,30.0,0.0,16.0,6.0,2.6,30,A,49.12456105777578,-123.18079742320633
316003124,2021-11-14 00:00:16,42.02667,-82.60187,0.0,348.2,511,PELEE ISLANDER,IMO5273274,VC4084,60.0,0.0,44.0,9.0,2.3,60,A,42.02667,-82.60187
316003351,2021-11-14 00:00:08,49.11826,-123.16436,0.0,360.0,511,VIKING FISHER,,UNKNOWN,30.0,0.0,22.0,6.0,2.2,30,A,49.11826,-123.16436
316003527,2021-11-14 00:00:10,49.12367,-123.1887,0.0,212.2,511,BELINA,IMO5039678,CY3195,30.0,0.0,23.0,7.0,2.9,30,A,49.12367,-123.1887
316003667,2021-11-14 00:00:06,49.31099,-123.10671,0.1,162.4,511,SEASPAN FALCON,IMO9072393,VG6987,31.0,0.0,25.0,9.0,2.5,52,A,49.30940241937017,-123.10593753593947
316003669,2021-11-14 00:00:16,49.15791,-122.97148,3.7,85.8,88,HAISEA GUARDIAN,IMO7414107,CZ5576,31.0,0.0,23.0,7.0,2.9,31,A,49.16242331222693,-122.87750167522978
