Model,R2_Score,RMSE_Latitude,RMSE_Longitude,MAE_Latitude,MAE_Longitude
LinearRegression,0.9999230958760177,0.07474201681804075,0.09382065826566152,0.04169236426536145,0.06066775680838887
RidgeRegression,0.9999204567819704,0.07439182388036548,0.10883512464747745,0.04396545537280273,0.07872687045653066
RandomForest,0.9998187116419086,0.10525295573280849,0.2103341140801614,0.06615248909973254,0.10707649798875186
GradientBoosting,0.999865305163528,0.09495884802107883,0.15503621344245935,0.05904898035602001,0.09634137814170589
